Subject,Proportion_1s,Proportion_2s,Shannon_Entropy,RunsTest_p,ACF_Lag1,ACF_Lag2,ACF_Lag3,ACF_Lag4,ACF_Lag5,ACF_Lag6,ACF_Lag7,ACF_Lag8,ACF_Lag9,ACF_Lag10
sub-028,0.525,0.475,0.99819587904281,0.978003961604735,-0.01004594820384296,0.0475772765246449,-0.0777568922305764,-0.0694235588972431,-0.010129490392648276,-0.06862990810359228,0.22458228905597316,-0.01687552213868003,0.04241854636591467,0.05075187969924806
sub-029,0.5,0.5,1.0,0.359283687782044,0.075,-0.23333333333333334,0.041666666666666664,0.2,-0.175,-0.15,0.19166666666666668,0.08333333333333333,-0.325,-0.15
sub-030,0.5416666666666666,0.45833333333333337,0.99498482818597,0.17087183083716706,-0.13292540792540797,-0.0057109557109557155,-0.08269230769230772,0.09347319347319345,0.1535547785547786,0.027622377622377656,-0.08012820512820512,-0.08997668997668999,0.00367132867132867,0.030186480186480215
sub-031,0.43333333333333335,0.5666666666666667,0.9871377743721862,0.44772132487020955,-0.0776395173453997,-0.03536953242835596,-0.04174208144796379,-0.10128205128205128,-0.09294871794871797,0.1042986425339366,-0.04234539969834089,0.13567119155354446,-0.12748868778280548,-0.05128205128205127
sub-032,0.5166666666666667,0.4833333333333333,0.9991983542636397,0.9902366979491976,-0.010020393029291778,-0.01781609195402298,0.1412402669632926,0.08283277715980723,-0.008945124212087477,-0.08348164627363737,0.07446236559139789,-0.03344456803856137,0.008259176863181332,0.0004634779384501208
sub-033,0.48333333333333334,0.5166666666666666,0.9991983542636399,0.0034490724666678915,0.256942899517983,0.13179458657767892,-0.010595105672969942,0.04723767148683725,0.004959213941416403,0.09616240266963295,0.0043845012977382445,0.1128290693362996,0.08779199110122361,0.045513533555802774
sub-034,0.5416666666666666,0.45833333333333337,0.99498482818597,0.6554444498153282,-0.050407925407925394,-0.008508158508158519,-0.11625874125874129,-0.05617715617715618,-0.0995920745920746,0.11013986013986013,-0.04935897435897436,0.16037296037296037,0.05262237762237762,0.12808857808857804
sub-035,0.48333333333333334,0.5166666666666666,0.9991983542636399,0.4553991382649978,-0.07676121616611051,0.11566555431961442,0.04112903225806453,-0.13463107156099374,-0.04231553578049687,0.08337041156840938,-0.02564886911383019,-7.415647015200274e-05,0.17511123470522813,-0.18362995921394146
sub-036,0.475,0.525,0.99819587904281,0.6927022134595406,-0.04513366750208858,-0.003383458646616557,0.05591060985797822,0.1310776942355889,-0.09450710108604843,0.09845446950710103,-0.009335839598997498,-0.0010025062656641832,0.10758145363408508,0.09837092731829564
sub-037,0.5,0.5,1.0,0.5822929538375821,0.041666666666666664,-0.03333333333333333,0.025,0.016666666666666666,-0.10833333333333334,0.2,0.008333333333333333,-0.016666666666666666,-0.025,0.13333333333333333
sub-038,0.5083333333333333,0.4916666666666667,0.999799616411146,0.2002898486305963,0.10808326386959341,0.09946744466055386,0.007772992497916109,-0.10031490228767243,0.057782254329906475,-0.017518755209780443,0.07389321107715108,0.11556913957580808,0.07416643512086692,-0.0011345744188200012
sub-039,0.5083333333333333,0.4916666666666667,0.999799616411146,0.016976109201002055,-0.22534268778364344,-0.016953783458368014,0.007772992497916108,-0.0002871167917013619,-0.15866675928498647,-0.01696304529035841,0.091398073538946,-0.11727331666203568,0.1911433731592108,0.03276373066592575
sub-040,0.5166666666666667,0.4833333333333333,0.9991983542636397,0.7226893020496782,0.024462365591397858,-0.016703744901742673,0.05837041156840938,-0.16688913607712277,-0.12518539117538005,-0.13409343715239155,0.057220986281053064,-0.11853911753800518,-0.01009454949944383,-0.13524286243974784
sub-041,0.49166666666666664,0.5083333333333333,0.999799616411146,0.7160533122646162,0.02500463091599522,-0.05029637862369172,-0.07530564045568205,0.05000463091599519,-0.1750602019079373,0.06667129758266185,-0.09170834491062324,0.033046216541631965,-0.008356487913309223,-2.315457997588583e-05
sub-042,0.5,0.5,1.0,0.27129855712877626,-0.10833333333333334,-0.08333333333333333,0.075,0.016666666666666666,0.14166666666666666,-0.13333333333333333,0.15833333333333333,0.016666666666666666,-0.10833333333333334,0.08333333333333333
